"","ntree","feat.err.OOB","feat.err.1","feat.err.2","feat.err.3","feat.err.4","feat.err.5","feat.err.6","feat.err.7"
"1",400,0.10148,0.122755648859179,0.0643324793623683,0.0879048248512888,0.295,0.45679012345679,0.232296492389146,0.127200454287337
"2",500,0.10186,0.12126401856251,0.0655524378837786,0.0892267019167217,0.285,0.465432098765432,0.232296492389146,0.131175468483816
"3",600,0.1012,0.12142975526214,0.0647391322028384,0.0888962326503635,0.28,0.454320987654321,0.232296492389146,0.128336172629188
"4",700,0.10152,0.121540246395227,0.0649831239071205,0.0879048248512888,0.285,0.462962962962963,0.236267372600927,0.126632595116411
"5",800,0.10126,0.121650737528313,0.0651051197592615,0.0862524785194977,0.29,0.454320987654321,0.230972865651886,0.127200454287337
"6",900,0.10112,0.121485000828683,0.0644544752145094,0.0859220092531395,0.275,0.459259259259259,0.236267372600927,0.129471890971039
"7",1000,0.10164,0.121650737528313,0.0646171363506974,0.0885657633840053,0.29,0.462962962962963,0.234943745863666,0.133446905167518
